STD_ZIP5,STUSPS,category_x,event_index,category_y
44282,OH,TSTM,1.0,TSTM
44285,OH,TSTM,1.0,TSTM
44286,OH,TSTM,1.0,TSTM
44287,OH,TSTM,1.0,TSTM
44288,OH,TSTM,1.0,TSTM
44301,OH,TSTM,1.0,TSTM
44302,OH,TSTM,1.0,TSTM
44303,OH,TSTM,1.0,TSTM
44304,OH,TSTM,1.0,TSTM
44305,OH,TSTM,1.0,TSTM
44306,OH,TSTM,1.0,TSTM
44307,OH,TSTM,1.0,TSTM
44308,OH,TSTM,1.0,TSTM
44309,OH,TSTM,1.0,TSTM
44310,OH,TSTM,1.0,TSTM
44311,OH,TSTM,1.0,TSTM
44312,OH,TSTM,1.0,TSTM
44313,OH,TSTM,1.0,TSTM
44314,OH,TSTM,1.0,TSTM
44319,OH,TSTM,1.0,TSTM
44320,OH,TSTM,1.0,TSTM
44321,OH,TSTM,1.0,TSTM
44325,OH,TSTM,1.0,TSTM
44333,OH,TSTM,1.0,TSTM
44334,OH,TSTM,1.0,TSTM
44401,OH,TSTM,1.0,TSTM
44402,OH,TSTM,1.0,TSTM
44403,OH,TSTM,1.0,TSTM
44404,OH,TSTM,1.0,TSTM
44406,OH,TSTM,1.0,TSTM
44410,OH,TSTM,1.0,TSTM
44411,OH,TSTM,1.0,TSTM
44412,OH,TSTM,1.0,TSTM
44417,OH,TSTM,1.0,TSTM
44418,OH,TSTM,1.0,TSTM
44420,OH,TSTM,1.0,TSTM
44424,OH,TSTM,1.0,TSTM
44425,OH,TSTM,1.0,TSTM
44428,OH,TSTM,1.0,TSTM
44429,OH,TSTM,1.0,TSTM
44430,OH,TSTM,1.0,TSTM
44437,OH,TSTM,1.0,TSTM
44438,OH,TSTM,1.0,TSTM
44440,OH,TSTM,1.0,TSTM
44444,OH,TSTM,1.0,TSTM
44446,OH,TSTM,1.0,TSTM
44449,OH,TSTM,1.0,TSTM
44450,OH,TSTM,1.0,TSTM
44451,OH,TSTM,1.0,TSTM
44460,OH,TSTM,1.0,TSTM
44470,OH,TSTM,1.0,TSTM
44473,OH,TSTM,1.0,TSTM
44481,OH,TSTM,1.0,TSTM
44483,OH,TSTM,1.0,TSTM
44484,OH,TSTM,1.0,TSTM
44485,OH,TSTM,1.0,TSTM
44491,OH,TSTM,1.0,TSTM
44493,OH,TSTM,1.0,TSTM
44501,OH,TSTM,1.0,TSTM
44502,OH,TSTM,1.0,TSTM
44503,OH,TSTM,1.0,TSTM
44504,OH,TSTM,1.0,TSTM
44505,OH,TSTM,1.0,TSTM
44506,OH,TSTM,1.0,TSTM
44507,OH,TSTM,1.0,TSTM
44509,OH,TSTM,1.0,TSTM
44510,OH,TSTM,1.0,TSTM
44511,OH,TSTM,1.0,TSTM
44512,OH,TSTM,1.0,TSTM
44513,OH,TSTM,1.0,TSTM
44515,OH,TSTM,1.0,TSTM
44601,OH,TSTM,1.0,TSTM
44606,OH,TSTM,1.0,TSTM
44608,OH,TSTM,1.0,TSTM
44609,OH,TSTM,1.0,TSTM
44611,OH,TSTM,1.0,TSTM
44612,OH,TSTM,1.0,TSTM
44613,OH,TSTM,1.0,TSTM
44614,OH,TSTM,1.0,TSTM
44618,OH,TSTM,1.0,TSTM
44619,OH,TSTM,1.0,TSTM
44620,OH,TSTM,1.0,TSTM
44622,OH,TSTM,1.0,TSTM
44624,OH,TSTM,1.0,TSTM
44625,OH,TSTM,1.0,TSTM
44626,OH,TSTM,1.0,TSTM
44627,OH,TSTM,1.0,TSTM
44628,OH,TSTM,1.0,TSTM
44629,OH,TSTM,1.0,TSTM
44630,OH,TSTM,1.0,TSTM
44632,OH,TSTM,1.0,TSTM
44633,OH,TSTM,1.0,TSTM
44634,OH,TSTM,1.0,TSTM
44636,OH,TSTM,1.0,TSTM
44637,OH,TSTM,1.0,TSTM
44638,OH,TSTM,1.0,TSTM
44640,OH,TSTM,1.0,TSTM
44641,OH,TSTM,1.0,TSTM
44643,OH,TSTM,1.0,TSTM
44644,OH,TSTM,1.0,TSTM
44645,OH,TSTM,1.0,TSTM
44646,OH,TSTM,1.0,TSTM
44647,OH,TSTM,1.0,TSTM
44648,OH,TSTM,1.0,TSTM
44650,OH,TSTM,1.0,TSTM
44652,OH,TSTM,1.0,TSTM
44653,OH,TSTM,1.0,TSTM
44654,OH,TSTM,1.0,TSTM
44656,OH,TSTM,1.0,TSTM
44657,OH,TSTM,1.0,TSTM
44659,OH,TSTM,1.0,TSTM
44660,OH,TSTM,1.0,TSTM
44661,OH,TSTM,1.0,TSTM
44662,OH,TSTM,1.0,TSTM
44663,OH,TSTM,1.0,TSTM
44666,OH,TSTM,1.0,TSTM
44667,OH,TSTM,1.0,TSTM
44669,OH,TSTM,1.0,TSTM
44670,OH,TSTM,1.0,TSTM
44671,OH,TSTM,1.0,TSTM
44672,OH,TSTM,1.0,TSTM
44675,OH,TSTM,1.0,TSTM
44676,OH,TSTM,1.0,TSTM
44677,OH,TSTM,1.0,TSTM
44678,OH,TSTM,1.0,TSTM
44680,OH,TSTM,1.0,TSTM
44681,OH,TSTM,1.0,TSTM
44682,OH,TSTM,1.0,TSTM
44685,OH,TSTM,1.0,TSTM
44688,OH,TSTM,1.0,TSTM
44689,OH,TSTM,1.0,TSTM
44690,OH,TSTM,1.0,TSTM
44691,OH,TSTM,1.0,TSTM
44697,OH,TSTM,1.0,TSTM
44702,OH,TSTM,1.0,TSTM
44703,OH,TSTM,1.0,TSTM
44704,OH,TSTM,1.0,TSTM
44705,OH,TSTM,1.0,TSTM
44706,OH,TSTM,1.0,TSTM
44707,OH,TSTM,1.0,TSTM
44708,OH,TSTM,1.0,TSTM
44709,OH,TSTM,1.0,TSTM
44710,OH,TSTM,1.0,TSTM
44711,OH,TSTM,1.0,TSTM
44714,OH,TSTM,1.0,TSTM
44718,OH,TSTM,1.0,TSTM
44720,OH,TSTM,1.0,TSTM
44721,OH,TSTM,1.0,TSTM
44730,OH,TSTM,1.0,TSTM
44735,OH,TSTM,1.0,TSTM
44802,OH,TSTM,1.0,TSTM
44804,OH,TSTM,1.0,TSTM
44805,OH,TSTM,1.0,TSTM
44807,OH,TSTM,1.0,TSTM
44809,OH,TSTM,1.0,TSTM
44811,OH,TSTM,1.0,TSTM
44813,OH,TSTM,1.0,TSTM
44814,OH,TSTM,1.0,TSTM
44815,OH,TSTM,1.0,TSTM
44817,OH,TSTM,1.0,TSTM
44818,OH,TSTM,1.0,TSTM
44820,OH,TSTM,1.0,TSTM
44822,OH,TSTM,1.0,TSTM
44824,OH,TSTM,1.0,TSTM
44825,OH,TSTM,1.0,TSTM
44826,OH,TSTM,1.0,TSTM
44827,OH,TSTM,1.0,TSTM
44828,OH,TSTM,1.0,TSTM
44830,OH,TSTM,1.0,TSTM
