STD_ZIP5,STUSPS,category,event_index
30705,GA,TSTM,1.0
30707,GA,TSTM,1.0
30708,GA,TSTM,1.0
30710,GA,TSTM,1.0
30711,GA,TSTM,1.0
30719,GA,TSTM,1.0
30720,GA,TSTM,1.0
30721,GA,TSTM,1.0
30722,GA,TSTM,1.0
30725,GA,TSTM,1.0
30726,GA,TSTM,1.0
30728,GA,TSTM,1.0
30730,GA,TSTM,1.0
30731,GA,TSTM,1.0
30732,GA,TSTM,1.0
30733,GA,TSTM,1.0
30734,GA,TSTM,1.0
30735,GA,TSTM,1.0
30736,GA,TSTM,1.0
30738,GA,TSTM,1.0
30739,GA,TSTM,1.0
30740,GA,TSTM,1.0
30741,GA,TSTM,1.0
30742,GA,TSTM,1.0
30746,GA,TSTM,1.0
30747,GA,TSTM,1.0
30750,GA,TSTM,1.0
30752,GA,TSTM,1.0
30753,GA,TSTM,1.0
30755,GA,TSTM,1.0
30757,GA,TSTM,1.0
30802,GA,TSTM,1.0
30803,GA,TSTM,1.0
30805,GA,TSTM,1.0
30807,GA,TSTM,1.0
30808,GA,TSTM,1.0
30809,GA,TSTM,1.0
30810,GA,TSTM,1.0
30813,GA,TSTM,1.0
30814,GA,TSTM,1.0
30815,GA,TSTM,1.0
30816,GA,TSTM,1.0
30817,GA,TSTM,1.0
30818,GA,TSTM,1.0
30820,GA,TSTM,1.0
30821,GA,TSTM,1.0
30823,GA,TSTM,1.0
30824,GA,TSTM,1.0
30828,GA,TSTM,1.0
30830,GA,TSTM,1.0
30833,GA,TSTM,1.0
30901,GA,TSTM,1.0
30903,GA,TSTM,1.0
30904,GA,TSTM,1.0
30905,GA,TSTM,1.0
30906,GA,TSTM,1.0
30907,GA,TSTM,1.0
30909,GA,TSTM,1.0
30914,GA,TSTM,1.0
30916,GA,TSTM,1.0
30917,GA,TSTM,1.0
30919,GA,TSTM,1.0
31001,GA,TSTM,1.0
31002,GA,TSTM,1.0
31004,GA,TSTM,1.0
31005,GA,TSTM,1.0
31006,GA,TSTM,1.0
31007,GA,TSTM,1.0
31008,GA,TSTM,1.0
31009,GA,TSTM,1.0
31010,GA,TSTM,1.0
31011,GA,TSTM,1.0
31012,GA,TSTM,1.0
31014,GA,TSTM,1.0
