NAMELSAD,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Lincoln County,GA,0,N/S,202401300600,202401301200,202402061200
Butler County,AL,0,N/S,202401300600,202401301200,202402061200
Sumner County,TN,0,N/S,202401300600,202401301200,202402061200
King and Queen County,VA,0,N/S,202401300600,202401301200,202402061200
Carroll County,AR,0,N/S,202401300600,202401301200,202402061200
Waynesboro city,VA,0,N/S,202401300600,202401301200,202402061200
Sitka City and Borough,AK,0,N/S,202401300600,202401301200,202402061200
Multnomah County,OR,0,N/S,202401300600,202401301200,202402061200
Grundy County,TN,0,N/S,202401300600,202401301200,202402061200
Hubbard County,MN,0,N/S,202401300600,202401301200,202402061200
Sargent County,ND,0,N/S,202401300600,202401301200,202402061200
St. Lawrence County,NY,0,N/S,202401300600,202401301200,202402061200
Reynolds County,MO,0,N/S,202401300600,202401301200,202402061200
Sacramento County,CA,0,N/S,202401300600,202401301200,202402061200
Paulding County,OH,0,N/S,202401300600,202401301200,202402061200
Wells County,IN,0,N/S,202401300600,202401301200,202402061200
Floyd County,VA,0,N/S,202401300600,202401301200,202402061200
Santa Barbara County,CA,0,N/S,202401300600,202401301200,202402061200
Boone County,WV,0,N/S,202401300600,202401301200,202402061200
Benton County,MS,0,N/S,202401300600,202401301200,202402061200
Crittenden County,KY,0,N/S,202401300600,202401301200,202402061200
Palo Alto County,IA,0,N/S,202401300600,202401301200,202402061200
Ringgold County,IA,0,N/S,202401300600,202401301200,202402061200
Randolph County,NC,0,N/S,202401300600,202401301200,202402061200
Cecil County,MD,0,N/S,202401300600,202401301200,202402061200
Warren County,IN,0,N/S,202401300600,202401301200,202402061200
Greeley County,NE,0,N/S,202401300600,202401301200,202402061200
Jefferson County,NE,0,N/S,202401300600,202401301200,202402061200
Saline County,NE,0,N/S,202401300600,202401301200,202402061200
Knott County,KY,0,N/S,202401300600,202401301200,202402061200
Clinton County,IA,0,N/S,202401300600,202401301200,202402061200
Jackson County,MN,0,N/S,202401300600,202401301200,202402061200
Dodge County,MN,0,N/S,202401300600,202401301200,202402061200
Freeborn County,MN,0,N/S,202401300600,202401301200,202402061200
Calaveras County,CA,0,N/S,202401300600,202401301200,202402061200
Barnstable County,MA,0,N/S,202401300600,202401301200,202402061200
Middlesex County,VA,0,N/S,202401300600,202401301200,202402061200
Jefferson County,PA,0,N/S,202401300600,202401301200,202402061200
Lake County,IN,0,N/S,202401300600,202401301200,202402061200
Bedford County,TN,0,N/S,202401300600,202401301200,202402061200
Clay County,TN,0,N/S,202401300600,202401301200,202402061200
Coles County,IL,0,N/S,202401300600,202401301200,202402061200
Lauderdale County,TN,0,N/S,202401300600,202401301200,202402061200
Baker County,OR,0,N/S,202401300600,202401301200,202402061200
Schuyler County,NY,0,N/S,202401300600,202401301200,202402061200
Van Buren County,MI,0,N/S,202401300600,202401301200,202402061200
Mercer County,IL,0,N/S,202401300600,202401301200,202402061200
Lawrence County,KY,0,N/S,202401300600,202401301200,202402061200
Morgan County,KY,0,N/S,202401300600,202401301200,202402061200
Muhlenberg County,KY,0,N/S,202401300600,202401301200,202402061200
Effingham County,IL,0,N/S,202401300600,202401301200,202402061200
Loudon County,TN,0,N/S,202401300600,202401301200,202402061200
Clark County,SD,0,N/S,202401300600,202401301200,202402061200
Honolulu County,HI,0,N/S,202401300600,202401301200,202402061200
Gilchrist County,FL,0,N/S,202401300600,202401301200,202402061200
Tippecanoe County,IN,0,N/S,202401300600,202401301200,202402061200
Snyder County,PA,0,N/S,202401300600,202401301200,202402061200
Lamar County,TX,0,N/S,202401300600,202401301200,202402061200
Miami-Dade County,FL,0,N/S,202401300600,202401301200,202402061200
Dundy County,NE,0,N/S,202401300600,202401301200,202402061200
Leon County,TX,0,N/S,202401300600,202401301200,202402061200
Pitkin County,CO,0,N/S,202401300600,202401301200,202402061200
Grand Forks County,ND,0,N/S,202401300600,202401301200,202402061200
LaPorte County,IN,0,N/S,202401300600,202401301200,202402061200
Hamilton County,IN,0,N/S,202401300600,202401301200,202402061200
Emporia city,VA,0,N/S,202401300600,202401301200,202402061200
Lincoln County,OK,0,N/S,202401300600,202401301200,202402061200
Greeley County,KS,0,N/S,202401300600,202401301200,202402061200
Harris County,GA,0,N/S,202401300600,202401301200,202402061200
Screven County,GA,0,N/S,202401300600,202401301200,202402061200
San Juan Municipio,PR,0,N/S,202401300600,202401301200,202402061200
Stonewall County,TX,0,N/S,202401300600,202401301200,202402061200
Henry County,OH,0,N/S,202401300600,202401301200,202402061200
Grafton County,NH,0,N/S,202401300600,202401301200,202402061200
Newton County,MO,0,N/S,202401300600,202401301200,202402061200
Posey County,IN,0,N/S,202401300600,202401301200,202402061200
McMullen County,TX,0,N/S,202401300600,202401301200,202402061200
Cumberland County,IL,0,N/S,202401300600,202401301200,202402061200
Walton County,GA,0,N/S,202401300600,202401301200,202402061200
Pope County,MN,0,N/S,202401300600,202401301200,202402061200
Rappahannock County,VA,0,N/S,202401300600,202401301200,202402061200
Amherst County,VA,0,N/S,202401300600,202401301200,202402061200
Ventura County,CA,0,N/S,202401300600,202401301200,202402061200
Crawford County,IL,0,N/S,202401300600,202401301200,202402061200
Park County,CO,0,N/S,202401300600,202401301200,202402061200
Los Angeles County,CA,0,N/S,202401300600,202401301200,202402061200
Yuma County,AZ,0,N/S,202401300600,202401301200,202402061200
Gordon County,GA,0,N/S,202401300600,202401301200,202402061200
Calhoun County,IA,0,N/S,202401300600,202401301200,202402061200
Highlands County,FL,0,N/S,202401300600,202401301200,202402061200
Covington city,VA,0,N/S,202401300600,202401301200,202402061200
Orange County,VT,0,N/S,202401300600,202401301200,202402061200
McPherson County,KS,0,N/S,202401300600,202401301200,202402061200
Pinal County,AZ,0,N/S,202401300600,202401301200,202402061200
Fulton County,OH,0,N/S,202401300600,202401301200,202402061200
Alamosa County,CO,0,N/S,202401300600,202401301200,202402061200
Citrus County,FL,0,N/S,202401300600,202401301200,202402061200
Culebra Municipio,PR,0,N/S,202401300600,202401301200,202402061200
Dorado Municipio,PR,0,N/S,202401300600,202401301200,202402061200
DeKalb County,TN,0,N/S,202401300600,202401301200,202402061200
Clarion County,PA,0,N/S,202401300600,202401301200,202402061200
Miner County,SD,0,N/S,202401300600,202401301200,202402061200
Jerauld County,SD,0,N/S,202401300600,202401301200,202402061200
Decatur County,IN,0,N/S,202401300600,202401301200,202402061200
Dubois County,IN,0,N/S,202401300600,202401301200,202402061200
Essex County,VA,0,N/S,202401300600,202401301200,202402061200
Williamsburg County,SC,0,N/S,202401300600,202401301200,202402061200
Essex County,NY,0,N/S,202401300600,202401301200,202402061200
Worth County,IA,0,N/S,202401300600,202401301200,202402061200
Hughes County,OK,0,N/S,202401300600,202401301200,202402061200
Buchanan County,VA,0,N/S,202401300600,202401301200,202402061200
Alleghany County,VA,0,N/S,202401300600,202401301200,202402061200
Lowndes County,MS,0,N/S,202401300600,202401301200,202402061200
Scott County,IN,0,N/S,202401300600,202401301200,202402061200
Prowers County,CO,0,N/S,202401300600,202401301200,202402061200
Sutton County,TX,0,N/S,202401300600,202401301200,202402061200
Sabana Grande Municipio,PR,0,N/S,202401300600,202401301200,202402061200
Muskogee County,OK,0,N/S,202401300600,202401301200,202402061200
Christian County,MO,0,N/S,202401300600,202401301200,202402061200
Ciales Municipio,PR,0,N/S,202401300600,202401301200,202402061200
Lamar County,MS,0,N/S,202401300600,202401301200,202402061200
Ripley County,IN,0,N/S,202401300600,202401301200,202402061200
Mercer County,ND,0,N/S,202401300600,202401301200,202402061200
Hart County,GA,0,N/S,202401300600,202401301200,202402061200
Jackson Parish,LA,0,N/S,202401300600,202401301200,202402061200
Northumberland County,VA,0,N/S,202401300600,202401301200,202402061200
Fort Bend County,TX,0,N/S,202401300600,202401301200,202402061200
Green Lake County,WI,0,N/S,202401300600,202401301200,202402061200
Pondera County,MT,0,N/S,202401300600,202401301200,202402061200
Walworth County,WI,0,N/S,202401300600,202401301200,202402061200
Mineral County,NV,0,N/S,202401300600,202401301200,202402061200
Fulton County,IL,0,N/S,202401300600,202401301200,202402061200
Suffolk County,NY,0,N/S,202401300600,202401301200,202402061200
Union County,IN,0,N/S,202401300600,202401301200,202402061200
McDonald County,MO,0,N/S,202401300600,202401301200,202402061200
Scotts Bluff County,NE,0,N/S,202401300600,202401301200,202402061200
San Miguel County,NM,0,N/S,202401300600,202401301200,202402061200
Lee County,AL,0,N/S,202401300600,202401301200,202402061200
Parker County,TX,0,N/S,202401300600,202401301200,202402061200
Dickey County,ND,0,N/S,202401300600,202401301200,202402061200
Barnes County,ND,0,N/S,202401300600,202401301200,202402061200
Sibley County,MN,0,N/S,202401300600,202401301200,202402061200
Upson County,GA,0,N/S,202401300600,202401301200,202402061200
Sonoma County,CA,0,N/S,202401300600,202401301200,202402061200
Chippewa County,MI,0,N/S,202401300600,202401301200,202402061200
