STD_ZIP5,event_index,category,ISSUE_TIME,START_TIME,END_TIME
19369,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19372,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19373,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19374,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19375,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19380,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19381,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19382,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19390,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19395,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19399,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19401,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19403,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19404,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19405,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19406,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19407,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19408,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19421,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19422,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19425,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19426,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19428,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19435,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19436,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19437,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19438,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19440,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19442,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19443,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19444,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19446,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19450,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19451,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19453,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19454,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19456,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19457,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19460,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19462,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19464,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19465,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19468,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19473,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
