NAMELSAD,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Todd County,KY,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Weakley County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Greene County,MO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lehigh County,PA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Seward County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Chemung County,NY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Wyoming County,NY,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Stanislaus County,CA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Northampton County,PA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Morgan County,AL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Breckinridge County,KY,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Grenada County,MS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Simpson County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Grand Isle County,VT,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Columbiana County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Nelson County,VA,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Osceola County,FL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Grant County,AR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Laurens County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
New York County,NY,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Benton County,AR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Isabela Municipio,PR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Marion County,FL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Nottoway County,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Warren County,NJ,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Columbia County,NY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Martinsville city,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Choctaw County,OK,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Dickinson County,KS,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Starr County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Effingham County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Roger Mills County,OK,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Richland County,WI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Lea County,NM,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lamar County,AL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Florida Municipio,PR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Marshall County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Appomattox County,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Madison County,AR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Sheridan County,WY,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Cumberland County,PA,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Franklin County,PA,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Luzerne County,PA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Crawford County,MI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Russell County,AL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Carroll County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Fluvanna County,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lake County,IL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Madison County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Dallas County,AR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Jackson County,CO,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Kit Carson County,CO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Owyhee County,ID,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Wood County,WI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Chautauqua County,NY,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Cobb County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Johnson County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Belmont County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Wise County,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Carter County,MO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Bryan County,OK,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Clay County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Charles County,MD,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Cerro Gordo County,IA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Greene County,IA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Rowan County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Wayne County,UT,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Cape Girardeau County,MO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Walla Walla County,WA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Mississippi County,MO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Cleveland County,AR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Dallas County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lajas Municipio,PR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
DeKalb County,IN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Ouachita Parish,LA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
St. John the Baptist Parish,LA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
St. Helena Parish,LA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Schuyler County,MO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Franklin County,AL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Carroll County,KY,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Clear Creek County,CO,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Kimble County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Mackinac County,MI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
McCulloch County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Tishomingo County,MS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Crockett County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hill County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Logan County,CO,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Finney County,KS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Montgomery County,KS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Fairfield County,SC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Cheyenne County,NE,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Martin County,MN,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Sevier County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Polk County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Kent County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Teton County,MT,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Garden County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Macoupin County,IL,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Ross County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Whiteside County,IL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
El Paso County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Loving County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Latimer County,OK,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Washington County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Howell County,MO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Edwards County,KS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Jefferson County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Logan County,IL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Winnebago County,WI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Fulton County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Harvey County,KS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Dawson County,MT,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Taylor County,WV,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Midland County,MI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Quitman County,MS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hardin County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Jefferson County,IL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hamlin County,SD,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lincoln County,WI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Franklin County,NY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Fredericksburg city,VA,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Raleigh County,WV,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Chaves County,NM,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Santa Fe County,NM,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Orange County,CA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Santa Cruz County,AZ,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Currituck County,NC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lawrence County,IL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Howard County,IN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Pike County,IN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Christian County,KY,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
