NAMELSAD,STUSPS,category,event_index
Nevada County,CA,TSTM,1.0
Douglas County,WI,TSTM,1.0
Beaver County,UT,TSTM,1.0
Murray County,GA,TSTM,1.0
Collier County,FL,TSTM,1.0
Ben Hill County,GA,TSTM,1.0
Baker County,FL,TSTM,1.0
Lanier County,GA,TSTM,1.0
Calhoun County,AL,TSTM,1.0
Jackson County,MS,TSTM,1.0
Quitman County,GA,TSTM,1.0
Sarasota County,FL,TSTM,1.0
Horry County,SC,TSTM,1.0
Lewis County,ID,TSTM,1.0
Butte County,CA,TSTM,1.0
Pine County,MN,TSTM,1.0
San Juan County,WA,TSTM,1.0
Irwin County,GA,TSTM,1.0
Meigs County,TN,TSTM,1.0
Taylor County,GA,TSTM,1.0
Montgomery County,GA,TSTM,1.0
Grays Harbor County,WA,TSTM,1.0
Heard County,GA,TSTM,1.0
Walker County,GA,TSTM,1.0
Cowlitz County,WA,TSTM,1.0
Merced County,CA,TSTM,1.0
Wayne County,NC,TSTM,1.0
Suwannee County,FL,TSTM,1.0
Taylor County,FL,TSTM,1.0
Chatham County,GA,TSTM,1.0
Union County,FL,TSTM,1.0
Rabun County,GA,TSTM,1.0
Bannock County,ID,TSTM,1.0
Clay County,FL,TSTM,1.0
Lincoln County,NV,TSTM,1.0
Oconee County,GA,TSTM,1.0
Madison County,FL,TSTM,1.0
Brooks County,GA,TSTM,1.0
Telfair County,GA,TSTM,1.0
Miller County,GA,TSTM,1.0
Utah County,UT,TSTM,1.0
Twin Falls County,ID,TSTM,1.0
Lee County,SC,TSTM,1.0
Clarendon County,SC,TSTM,1.0
Stanislaus County,CA,TSTM,1.0
Morgan County,AL,TSTM,1.0
Osceola County,FL,TSTM,1.0
Laurens County,GA,TSTM,1.0
Marion County,FL,TSTM,1.0
Effingham County,GA,TSTM,1.0
Russell County,AL,TSTM,1.0
Owyhee County,ID,TSTM,1.0
Wood County,WI,TSTM,1.0
Cobb County,GA,TSTM,1.0
Walla Walla County,WA,TSTM,1.0
Polk County,TN,TSTM,1.0
Lincoln County,WI,TSTM,1.0
Currituck County,NC,TSTM,1.0
Conecuh County,AL,TSTM,1.0
Jackson County,FL,TSTM,1.0
Pepin County,WI,TSTM,1.0
Seminole County,GA,TSTM,1.0
Sutter County,CA,TSTM,1.0
Juab County,UT,TSTM,1.0
Washington County,ID,TSTM,1.0
Alachua County,FL,TSTM,1.0
Hardee County,FL,TSTM,1.0
Yamhill County,OR,TSTM,1.0
Nassau County,FL,TSTM,1.0
Washington County,FL,TSTM,1.0
Baker County,GA,TSTM,1.0
Thomas County,GA,TSTM,1.0
Cherokee County,GA,TSTM,1.0
Santa Rosa County,FL,TSTM,1.0
Chattooga County,GA,TSTM,1.0
Dillon County,SC,TSTM,1.0
Jones County,NC,TSTM,1.0
Decatur County,GA,TSTM,1.0
Amador County,CA,TSTM,1.0
Mitchell County,GA,TSTM,1.0
Iron County,UT,TSTM,1.0
Sanpete County,UT,TSTM,1.0
Brevard County,FL,TSTM,1.0
Jasper County,SC,TSTM,1.0
Clark County,WA,TSTM,1.0
