NAMELSAD,STUSPS,category_x,event_index,category_y
DeKalb County,IN,TSTM,1.0,TSTM
Schuyler County,MO,TSTM,1.0,TSTM
Macoupin County,IL,TSTM,1.0,TSTM
Howell County,MO,TSTM,1.0,TSTM
Logan County,IL,TSTM,1.0,TSTM
Jefferson County,IL,TSTM,1.0,TSTM
Lawrence County,IL,TSTM,1.0,TSTM
Howard County,IN,TSTM,1.0,TSTM
Pike County,IN,TSTM,1.0,TSTM
Eaton County,MI,TSTM,1.0,TSTM
Wapello County,IA,TSTM,1.0,TSTM
Cass County,MI,TSTM,1.0,TSTM
Jackson County,IN,TSTM,1.0,TSTM
Henry County,IA,TSTM,1.0,TSTM
Macon County,MO,TSTM,1.0,TSTM
Daviess County,MO,TSTM,1.0,TSTM
Juab County,UT,TSTM,1.0,TSTM
Peoria County,IL,TSTM,1.0,TSTM
Shelby County,MO,TSTM,1.0,TSTM
Madison County,OH,TSTM,1.0,TSTM
Champaign County,IL,TSTM,1.0,TSTM
Edgar County,IL,TSTM,1.0,TSTM
Hardin County,OH,TSTM,1.0,TSTM
Shannon County,MO,TSTM,1.0,TSTM
Oakland County,MI,TSTM,1.0,TSTM
Yamhill County,OR,TSTM,1.0,TSTM
Louisa County,IA,TSTM,1.0,TSTM
Putnam County,OH,TSTM,1.0,TSTM
Perry County,MO,TSTM,1.0,TSTM
Monroe County,IA,TSTM,1.0,TSTM
Christian County,IL,TSTM,1.0,TSTM
Martin County,IN,TSTM,1.0,TSTM
Scotland County,MO,TSTM,1.0,TSTM
Wayne County,IN,TSTM,1.0,TSTM
Branch County,MI,TSTM,1.0,TSTM
Allegan County,MI,TSTM,1.0,TSTM
Shelby County,IN,TSTM,1.0,TSTM
Franklin County,OH,TSTM,1.0,TSTM
Monroe County,IN,TSTM,1.0,TSTM
Lucas County,IA,TSTM,1.0,TSTM
Clark County,WA,TSTM,1.0,TSTM
Miami County,IN,TSTM,1.0,TSTM
Madison County,IN,TSTM,1.0,TSTM
Putnam County,IN,TSTM,1.0,TSTM
Putnam County,MO,TSTM,1.0,TSTM
Marion County,IN,TSTM,1.0,TSTM
St. Francois County,MO,TSTM,1.0,TSTM
Clinton County,MO,TSTM,1.0,TSTM
Wasatch County,UT,TSTM,1.0,TSTM
Huron County,OH,TSTM,1.0,TSTM
Wood County,OH,TSTM,1.0,TSTM
Knox County,IL,TSTM,1.0,TSTM
Gunnison County,CO,TSTM,1.0,TSTM
Seneca County,OH,TSTM,1.0,TSTM
Williams County,OH,TSTM,1.0,TSTM
Union County,OH,TSTM,1.0,TSTM
Cuyahoga County,OH,TSTM,1.0,TSTM
Kitsap County,WA,TSTM,1.0,TSTM
Carroll County,MO,TSTM,1.0,TSTM
Parke County,IN,TSTM,1.0,TSTM
Knox County,OH,TSTM,1.0,TSTM
Benton County,MO,TSTM,1.0,TSTM
Dent County,MO,TSTM,1.0,TSTM
Leavenworth County,KS,TSTM,1.0,TSTM
St. Clair County,MO,TSTM,1.0,TSTM
Mercer County,MO,TSTM,1.0,TSTM
Mason County,WA,TSTM,1.0,TSTM
Pettis County,MO,TSTM,1.0,TSTM
Whitley County,IN,TSTM,1.0,TSTM
DeKalb County,MO,TSTM,1.0,TSTM
Edwards County,IL,TSTM,1.0,TSTM
Licking County,OH,TSTM,1.0,TSTM
Henderson County,IL,TSTM,1.0,TSTM
Fayette County,IN,TSTM,1.0,TSTM
Monroe County,MO,TSTM,1.0,TSTM
Adams County,IN,TSTM,1.0,TSTM
Washington County,IA,TSTM,1.0,TSTM
Summit County,OH,TSTM,1.0,TSTM
Lawrence County,AR,TSTM,1.0,TSTM
Pierce County,WA,TSTM,1.0,TSTM
Blackford County,IN,TSTM,1.0,TSTM
Hendricks County,IN,TSTM,1.0,TSTM
Jackson County,IL,TSTM,1.0,TSTM
Tooele County,UT,TSTM,1.0,TSTM
Shelby County,OH,TSTM,1.0,TSTM
Lawrence County,IN,TSTM,1.0,TSTM
St. Louis city,MO,TSTM,1.0,TSTM
Thurston County,WA,TSTM,1.0,TSTM
Medina County,OH,TSTM,1.0,TSTM
Coshocton County,OH,TSTM,1.0,TSTM
Wyandot County,OH,TSTM,1.0,TSTM
Washington County,OR,TSTM,1.0,TSTM
Bates County,MO,TSTM,1.0,TSTM
Mercer County,OH,TSTM,1.0,TSTM
New Madrid County,MO,TSTM,1.0,TSTM
Camden County,MO,TSTM,1.0,TSTM
Skamania County,WA,TSTM,1.0,TSTM
Lenawee County,MI,TSTM,1.0,TSTM
